name,address,zip_code,city,state,latitude,longitude,ratings
Nepa Hut Beach Bar,6800 Sunshine Skyway Ln S,33711,Saint Petersburg,FL,27.705824,-82.677677,3.5
Panera Bread,"2679 Gulf To Bay Blvd, Ste 530",33759,Clearwater,FL,27.95882688,-82.72650867,3.5
Peltz Shoes,7121 22nd Ave N,33710,Saint Petersburg,FL,27.7924387,-82.7373693,3.5
Perkins Restaurant & Bakery,2626 Gulf To Bay Blvd,33759,Clearwater,FL,27.960986,-82.72938028,3.5
Pholicious Countryside Mall,"27001 US Hwy 19 N, Ste 9245",33761,Clearwater,FL,28.017461,-82.732546,3.5
Pink & White Nails Salon & Spa of Clearwater,2518 N McMullen Booth Rd,33761,Clearwater,FL,28.013192,-82.7092251,3.5
Red Robin Gourmet Burgers and Brews,"27001 US Hwy 19 N, Ste 1130",33761,Clearwater,FL,28.016693,-82.734672,3.5
Red Tiki Bar,7361 46th Av N,33709,Saint Petersburg,FL,27.8139075,-82.7404816,3.5
Ruby Thai Kitchen,"27001 US Hwy 19 N, Ste 2081",33761,Clearwater,FL,28.0379796,-82.72275,3.5
Russo's New York Pizzeria - Clearwater,2233 Gulf To Bay Blvd,33765,Clearwater,FL,27.9600451,-82.7443439,3.5
Salem's Fresh Eats,880 34th St N,33713,Saint Petersburg,FL,27.7805877,-82.6798471,3.5
Samgelo's Pizza,650 Mandalay Ave,33767,Clearwater Beach,FL,27.9880793,-82.8267611,3.5
Seminole Subs & Gyros,1001 S Missouri Ave,33756,Clearwater,FL,27.9549583,-82.7872498,3.5
Taco Bell,2990 Gulf To Bay Blvd,33759,Clearwater,FL,27.96090578,-82.71304336,3.5
Thai Coconut and Sushi,1280 S Missouri Ave,33756,Clearwater,FL,27.951473,-82.7878604,3.5
The Avenue DTSP,330 1st Ave S,33701,Saint Petersburg,FL,27.770057,-82.637674,3.5
The Birch & Vine,340 Beach Dr NE,33701,Saint Petersburg,FL,27.77602622,-82.63205207,3.5
The Brown Boxer Pub and Grille,483 Mandalay Ave,33767,Clearwater Beach,FL,27.98182577,-82.82681445,3.5
The Brown Boxer Southbeach,741 Bayway Blvd,33767,Clearwater,FL,27.9666824,-82.8231837,3.5
The Missing Piece - Clearwater,"28200 US Hwy 19 N, Ste C",33761,Clearwater,FL,28.028604,-82.739172,3.5
The Quick Red Fox,"2140 Drew St, Ste J",33765,Clearwater,FL,27.968387,-82.748937,3.5
Tony's Pizza,533 Central Ave,33701,Saint Petersburg,FL,27.77133598,-82.64086403,3.5
Top China,3018 54th Ave S,33712,Saint Petersburg,FL,27.71821461,-82.6734652,3.5
Travelodge Clearwater,21252 US Hwy19 N,33765,Clearwater,FL,27.965547,-82.731319,3.5
WingHouse Bar & Grill,2640 Gulf to Bay Blvd,33759,Clearwater,FL,27.9610775,-82.7282234,3.5
Wok Out Restaurant,"1444 S Belcher Rd, Ste B",33764,Clearwater,FL,27.94369393,-82.74628484,3.5
Wok-N-Roll of Clearwater,"2519 N McMullen Booth Rd, Ste 206",33761,Clearwater,FL,28.01316,-82.70764,3.5
Yaya's Flame Broiled Chicken,10378 Roosevelt Blvd N,33716,Saint Petersburg,FL,27.8661999,-82.643888,3.5
Amy's China One,1537 S Highland Ave,33756,Clearwater,FL,27.9408821,-82.7738753,4
Another Broken Egg Cafe,2554 N McMullen Booth Rd,33761,Clearwater,FL,28.014054,-82.709827,4
Aroy Thai and Sushi,5306 Seminole Blvd,33708,Saint Petersburg,FL,27.8204926,-82.7873129,4
Badfins Food + Brew,215 S Gulfview Blvd,33767,Clearwater,FL,27.97461,-82.8288798,4
